ajenar	ajeno
readecuar	readecúo
velar	velo
desembocar	desemboco
trepar	trepo
circunnavegar	circunnavego
arbolar	arbolo
pregonar	pregono
matonear	matoneo
entornar	entorno
arribar	arribo
autodestruir	autodestruyo
mencionar	menciono
autorizar	autorizo
sobrealimentar	sobrealimento
escodar	escodo
dañar	daño
apedrear	apedreo
reglar	reglo
desglosar	desgloso
encastrar	encastro
deshebrar	deshebro
encerar	encero
amortajar	amortajo
condecir	condigo
absortar	absorto
deslomar	deslomo
evocar	evoco
proteger	protejo
pespuntar	pespunto
abolir	abolo
loquear	loqueo
bootear	booteo
anualizar	anualizo
embragar	embrago
despezar	despiezo
programar	programo
empujar	empujo
abejonear	abejoneo
trebejar	trebejo
desconcentrar	desconcentro
autoflagelar	autoflagelo
meditar	medito
derrelinquir	derrelinco
conspirar	conspiro
ofrecer	ofrezco
suceder	sucedo
sahumar	sahúmo
mofar	mofo
biografiar	biografío
desturcar	desturco
etiquetar	etiqueto
investigar	investigo
laburar	laburo
desmitificar	desmitifico
infligir	inflijo
semejar	semejo
trastabillar	trastabillo
aconsejar	aconsejo
afrentar	afrento
rielar	rielo
gratar	grato
colear	coleo
fabricar	fabrico
mentalizar	mentalizo
prevaricar	prevarico
relucir	reluzco
oficiar	oficio
marginalizar	marginalizo
afiebrar	afiebro
gasificar	gasifico
retoñar	retoño
opinar	opino
bastardear	bastardeo
culebrear	culebreo
promesar	promeso
calcular	calculo
interrogar	interrogo
chismorrear	chismorreo
insultar	insulto
haraganear	haraganeo
litigar	litigo
acostumbrar	acostumbro
dimensionar	dimensiono
envergar	envergo
criminalizar	criminalizo
amueblar	amueblo
atizar	atizo
involucionar	involuciono
reagrupar	reagrupo
rectar	recto
sarmentar	sarmiento
ponchar	poncho
castañetear	castañeteo
ranciar	rancio
desbarrar	desbarro
motivar	motivo
mechar	mecho
encriptar	encripto
prohijar	prohíjo
entortar	entorto
autoexplorar	autoexploro
escombrar	escombro
granizar	granizo
coger	cojo
atorar	atoro
disolver	disuelvo
enrumbar	enrumbo
pegar	pego
erizar	erizo
trasportar	trasporto
exceptuar	exceptúo
aprisionar	aprisiono
embaldosar	embaldoso
estipular	estipulo
maleficiar	maleficio
enganchar	engancho
cortejar	cortejo
zambullir	zambullo
desensibilizar	desensibilizo
metalizar	metalizo
ensalivar	ensalivo
abrogar	abrogo
bombear	bombeo
regionalizar	regionalizo
kilometrar	kilometro
destartalar	destartalo
electrificar	electrifico
incitar	incito
relajar	relajo
chinar	chino
rebatar	rebato
profesar	profeso
desguanguañar	desguanguaño
federalizar	federalizo
polinizar	polinizo
ensangrentar	ensangriento
razonar	razono
malvar	malvo
apolillar	apolillo
ampliar	amplío
respectar	respecto
izar	izo
masacrar	masacro
otear	oteo
adiar	adío
ajardinar	ajardino
pedalear	pedaleo
desmarimbar	desmarimbo
lactar	lacto
garantizar	garantizo
precocinar	precocino
presagiar	presagio
empavesar	empaveso
vendar	vendo
triunfar	triunfo
equivocar	equivoco
matar	mato
suspender	suspendo
descarnar	descarno
emular	emulo
cucar	cuco
achicar	achico
listar	listo
cafichar	caficho
refregar	refriego
consolar	consuelo
escindir	escindo
escoger	escojo
escolarizar	escolarizo
burocratizar	burocratizo
aunar	aúno
amadrinar	amadrino
tamizar	tamizo
delaminar	delamino
vapulear	vapuleo
canturrear	canturreo
trapear	trapeo
mascar	masco
desencapotar	desencapoto
endiosar	endioso
barrer	barro
plegar	pliego
ataviar	atavio
dilucidar	dilucido
segregar	segrego
arropar	arropo
tributar	tributo
decelerar	decelero
pizcar	pizco
resecar	reseco
atronar	atrueno
desamarrar	desamarro
desestimar	desestimo
desemplear	desempleo
academizar	academizo
avasallar	avasallo
preconizar	preconizo
desarmar	desarmo
refaccionar	refacciono
escarmentar	escarmiento
recular	reculo
desprejuiciar	desprejuicio
hincar	hinco
fundir	fundo
escrutar	escruto
escampar	escampo
desarrugar	desarrugo
retratar	retrato
ensordecer	ensordezco
contradecir	contradigo
imputar	imputo
tirotear	tiroteo
englobar	englobo
competer	competo
perturbar	perturbo
remangar	remango
nausear	nauseo
enardecer	enardezco
externalizar	externalizo
cliquear	cliqueo
arrastrar	arrastro
apreciar	aprecio
escarchar	escarcho
colaborar	colaboro
arquear	arqueo
sistematizar	sistematizo
desfigurar	desfiguro
indicar	indico
personificar	personifico
suputar	suputo
espumarajear	espumarajeo
vitalizar	vitalizo
espumear	espumeo
institucionalizar	institucionalizo
jibarizar	jibarizo
nuclearizar	nuclearizo
despercudir	despercudo
sedimentar	sedimento
prorrogar	prorrogo
optar	opto
espitar	espito
encuerar	encuero
subsumir	subsumo
retorcer	retuerzo
desadornar	desadorno
celebrar	celebro
ausentar	ausento
aburrir	aburro
exportar	exporto
entablillar	entablillo
ambientar	ambiento
minusvalorar	minusvaloro
bronquear	bronqueo
ondear	ondeo
antagonizar	antagonizo
subvencionar	subvenciono
malograr	malogro
predefinir	predefino
inculpar	inculpo
espesar	espeso
pleitear	pleiteo
tapear	tapeo
adobar	adobo
entroncar	entronco
desrabar	desrabo
aifonear	aifoneo
federar	federo
curar	curo
anteceder	antecedo
adueñar	adueño
encrestar	encresto
sesionar	sesiono
embestir	embisto
dialogar	dialogo
alancear	alanceo
envasar	envaso
abortar	aborto
representar	represento
juguetear	jugueteo
desminar	desmino
aterrar	atierro
clausular	clausulo
apoyar	apoyo
sobrellenar	sobrelleno
embelesar	embeleso
embotar	emboto
averiar	averío
independizar	independizo
barrar	barro
pastar	pasto
entumecer	entumezco
entrecruzar	entrecruzo
degustar	degusto
licenciar	licencio
rebrincar	rebrinco
desacoplar	desacoplo
sopar	sopo
desguarnecer	desguarnezco
chatear	chateo
demorar	demoro
placer	plazco
balar	balo
estrechar	estrecho
pretermitir	pretermito
ensañar	ensaño
fecundar	fecundo
asustar	asusto
deber	debo
sopear	sopeo
enrollar	enrollo
cloroformizar	cloroformizo
empeorar	empeoro
rifar	rifo
laquear	laqueo
liberalizar	liberalizo
cejar	cejo
resaltar	resalto
galardonar	galardono
llagar	llago
desnacer	desnazco
esputar	esputo
satanizar	satanizo
abisagrar	abisagro
remplazar	remplazo
autojustificar	autojustifico
acaramelar	acaramelo
levitar	levito
posar	poso
desmoronar	desmorono
enhornar	enhorno
olvidar	olvido
exclamar	exclamo
subarrendar	subarriendo
desactivar	desactivo
desautorizar	desautorizo
execrar	execro
mediatizar	mediatizo
tumultuar	tumultúo
llevar	llevo
sujetar	sujeto
atirantar	atiranto
aniñar	aniño
impender	impendo
reorientar	reoriento
ayustar	ayusto
mortificar	mortifico
acensar	acenso
encadenar	encadeno
trasvestir	trasvisto
palpar	palpo
malbaratar	malbarato
beneficiar	beneficio
descohesionar	descohesiono
ovacionar	ovaciono
enviudar	enviudo
acelerar	acelero
malvender	malvendo
incinerar	incinero
remunerar	remunero
encuadernar	encuaderno
sobornar	soborno
legitimar	legitimo
tararear	tarareo
deslegañar	deslegaño
atisbar	atisbo
aupar	aúpo
bolear	boleo
macizar	macizo
revivir	revivo
deslavar	deslavo
desmelenar	desmeleno
bonificar	bonifico
destemplar	destemplo
displacer	displazco
untar	unto
desinstalar	desinstalo
desprecintar	desprecinto
mezquinar	mezquino
despenar	despeno
reparar	reparo
presionar	presiono
anunciar	anuncio
clarear	clareo
trasgredir	trasgredo
distender	distiendo
abrir	abro
ahincar	ahínco
remendar	remiendo
copar	copo
imbricar	imbrico
modelar	modelo
hablar	hablo
cubrir	cubro
mangar	mango
embalsamar	embalsamo
sobrerreaccionar	sobrerreacciono
durar	duro
prolongar	prolongo
aniquilar	aniquilo
zanganear	zanganeo
descabezar	descabezo
presentar	presento
hervir	hiervo
autoperfeccionar	autoperfecciono
anclar	anclo
martirizar	martirizo
desafinar	desafino
descontextualizar	descontextualizo
emputecer	emputezco
endulzar	endulzo
justificar	justifico
ratear	rateo
apersonar	apersono
desgraciar	desgracio
descolorir	descoloro
despenalizar	despenalizo
pirrar	pirro
vigiar	vigío
ensebar	ensebo
desvincular	desvinculo
escasear	escaseo
acumular	acumulo
enrojecer	enrojezco
arbitrar	arbitro
ampollar	ampollo
sobrepagar	sobrepago
alijar	alijo
cepillar	cepillo
maquillar	maquillo
vivaquear	vivaqueo
vitrificar	vitrifico
adeudar	adeudo
esperanzar	esperanzo
alzar	alzo
preconcebir	preconcibo
chacharear	chachareo
implantar	implanto
garbar	garbo
lanchar	lancho
apañar	apaño
discursar	discurso
metastatizar	metastatizo
malmeter	malmeto
romancear	romanceo
capilar	capilo
repatriar	repatrío
controlar	controlo
telonear	teloneo
xerografiar	xerografío
levar	levo
acotolar	acotolo
apoderar	apodero
trocear	troceo
financiar	financio
enajenar	enajeno
morar	moro
palmotear	palmoteo
meteorizar	meteorizo
minar	mino
ramificar	ramifico
boletear	boleteo
descumplir	descumplo
aullar	aúllo
jimar	jimo
encuclillar	encuclillo
calabriar	calabrio
tentar	tiento
rentabilizar	rentabilizo
readquirir	readquiro
revolcar	revuelco
compadrar	compadro
feriar	ferio
azulejar	azulejo
glosar	gloso
novelar	novelo
cribar	cribo
depilar	depilo
amarillear	amarilleo
atorgar	atorgo
disfrutar	disfruto
apretujar	apretujo
pelechar	pelecho
mimir	mimo
amañanar	amañano
adsorber	adsorbo
quedar	quedo
circunferir	circunfiero
embarnecer	embarnezco
solver	suelvo
contabilizar	contabilizo
apresurar	apresuro
prendar	prendo
regentear	regenteo
retrepar	retrepo
desempedrar	desempiedro
saltear	salteo
ruborizar	ruborizo
sobrevolar	sobrevuelo
humedecer	humedezco
objetivar	objetivo
despersonalizar	despersonalizo
serruchar	serrucho
relocalizar	relocalizo
intensar	intenso
avalar	avalo
espatarrar	espatarro
festejar	festejo
orinar	orino
confraternizar	confraternizo
momificar	momifico
renombrar	renombro
instilar	instilo
apresar	apreso
empolvar	empolvo
retroceder	retrocedo
densificar	densifico
volcar	vuelco
aplicar	aplico
bombardear	bombardeo
encasillar	encasillo
consternar	consterno
embarazar	embarazo
cercenar	cerceno
escanear	escaneo
sofisticar	sofistico
reactualizar	reactualizo
trasuntar	trasunto
alunizar	alunizo
buzar	buzo
comediar	comedio
adormilar	adormilo
descubrir	descubro
escudriñar	escudriño
inhibir	inhibo
leñar	leño
electrizar	electrizo
presidir	presido
aplastar	aplasto
solventar	solvento
cacarear	cacareo
acongojar	acongojo
comadrear	comadreo
apalear	apaleo
lucir	luzco
monologar	monologo
ceder	cedo
borronear	borroneo
apetecer	apetezco
complicar	complico
censar	censo
iludir	iludo
democratizar	democratizo
petear	peteo
reestablecer	reestablezco
brincar	brinco
maltear	malteo
mermar	mermo
aruñar	aruño
desinteresar	desintereso
recordar	recuerdo
readmitir	readmito
excitar	excito
amalgamar	amalgamo
excomulgar	excomulgo
pulir	pulo
arenar	areno
amenizar	amenizo
traumatizar	traumatizo
engañar	engaño
apiadar	apiado
trasmutar	trasmuto
escrudriñar	escrudriño
medicar	medico
cazar	cazo
atarantar	ataranto
faenar	faeno
cuadruplicar	cuadruplico
aventurar	aventuro
melear	meleo
testar	testo
adjuntar	adjunto
acariñar	acariño
angostar	angosto
supercomprimir	supercomprimo
contextualizar	contextualizo
humanizar	humanizo
adiestrar	adiestro
tabular	tabulo
inactivar	inactivo
maniobrar	maniobro
paliar	palio
masar	maso
proceder	procedo
envarar	envaro
entregar	entrego
transcurrir	transcurro
agilizar	agilizo
focalizar	focalizo
colectar	colecto
inmatricular	inmatriculo
estornudar	estornudo
almidonar	almidono
mestizar	mestizo
chingar	chingo
mangonear	mangoneo
apocopar	apocopo
encestar	encesto
descoser	descoso
despuntar	despunto
fanfarronear	fanfarroneo
subsidiar	subsidio
titubear	titubeo
desencasquillar	desencasquillo
despilfarrar	despilfarro
bardar	bardo
asemejar	asemejo
pergeñar	pergeño
lengüetear	lengüeteo
rendir	rindo
hormigonar	hormigono
reversar	reverso
socorrer	socorro
apocar	apoco
conocer	conozco
compungir	compunjo
besuquear	besuqueo
escalonar	escalono
cuadrar	cuadro
verter	vierto
trillar	trillo
alegar	alego
crecer	crezco
internar	interno
sociologizar	sociologizo
jaspear	jaspeo
laurear	laureo
labrar	labro
anisar	aniso
estacionar	estaciono
rescatar	rescato
purgar	purgo
destazar	destazo
trajear	trajeo
desainar	desaíno
desfalcar	desfalco
trastornar	trastorno
disturbar	disturbo
infusionar	infusiono
ribetear	ribeteo
madrear	madreo
mancillar	mancillo
concientizar	concientizo
atentar	atento
alebrestar	alebresto
acojonar	acojono
enconar	encono
entusiasmar	entusiasmo
cavar	cavo
toser	toso
desanimar	desanimo
resonar	resueno
encastillar	encastillo
volver	vuelvo
chirriar	chirrío
acatar	acato
anarquizar	anarquizo
singularizar	singularizo
maleducar	maleduco
embetunar	embetuno
arponear	arponeo
litar	lito
contrariar	contrarío
noquear	noqueo
vidriar	vidrio
machetear	macheteo
emparentar	empariento
desbarajustar	desbarajusto
hostilizar	hostilizo
baldosar	baldoso
racionar	raciono
dentellear	dentelleo
raspar	raspo
aneblar	anieblo
aguadar	aguado
abanderizar	abanderizo
secretar	secreto
aguardar	aguardo
inmergir	inmerjo
dotar	doto
fachar	facho
cautivar	cautivo
espachurrar	espachurro
perorar	peroro
arrostrar	arrostro
asestar	asesto
lisiar	lisio
plantear	planteo
engatillar	engatillo
destorcer	destuerzo
españolear	españoleo
relativizar	relativizo
desaprender	desaprendo
agradecer	agradezco
ahitar	ahíto
enjuiciar	enjuicio
aflautar	aflauto
arrear	arreo
ignorar	ignoro
aventar	aviento
explotar	exploto
padecer	padezco
desfogar	desfogo
malhumorar	malhumoro
desembarcar	desembarco
rabiar	rabio
aterciopelar	aterciopelo
convocar	convoco
edificar	edifico
nombrar	nombro
engarabitar	engarabito
represaliar	represalio
sobredimensionar	sobredimensiono
transvasar	transvaso
dormir	duermo
flautear	flauteo
cuartear	cuarteo
ventar	viento
rastrear	rastreo
despegar	despego
aliviar	alivio
asitir	asito
plagiar	plagio
patrullar	patrullo
retransmitir	retransmito
ripostar	riposto
apodar	apodo
reiniciar	reinicio
propulsar	propulso
transferir	transfiero
incomodar	incomodo
desgranar	desgrano
peligrar	peligro
desproteger	desprotejo
cabecear	cabeceo
repletar	repleto
secar	seco
deportar	deporto
escaramuzar	escaramuzo
apartar	aparto
provocar	provoco
ungir	unjo
ajustar	ajusto
parecer	parezco
montar	monto
anonimizar	anonimizo
desgajar	desgajo
contrabandear	contrabandeo
amordazar	amordazo
ripiar	ripio
frivolizar	frivolizo
aspar	aspo
ensoñar	ensueño
decrecer	decrezco
cecinar	cecino
desnudar	desnudo
intitular	intitulo
sedar	sedo
dictaminar	dictamino
afrijolar	afrijolo
caldear	caldeo
preestablecer	preestablezco
desembuchar	desembucho
herrar	hierro
combatir	combato
desenjalmar	desenjalmo
canicular	caniculo
requisar	requiso
repeler	repelo
pulsear	pulseo
memorizar	memorizo
parcelar	parcelo
galopar	galopo
moralizar	moralizo
truncar	trunco
diagonalizar	diagonalizo
triangular	triangulo
hacer	hago
reaccionar	reacciono
especiar	especio
plagar	plago
contristar	contristo
filosofar	filosofo
piar	pío
pretextar	pretexto
contemplar	contemplo
rutar	ruto
alaciar	alacio
consensuar	consensúo
confiscar	confisco
polimerizar	polimerizo
fagocitar	fagocito
percudir	percudo
arriar	arrío
especializar	especializo
redargüir	redarguyo
prefinanciar	prefinancio
barrenar	barreno
vulcanizar	vulcanizo
cablegrafiar	cablegrafío
constar	consto
vacilar	vacilo
adecuar	adecúo
jeringar	jeringo
gayar	gayo
depravar	depravo
condonar	condono
roncar	ronco
robotizar	robotizo
abdicar	abdico
acuantiar	acuantío
reglamentar	reglamento
repeinar	repeino
resoplar	resoplo
promover	promuevo
exhumar	exhumo
oxigenar	oxigeno
optimar	optimo
subcontratar	subcontrato
agendar	agendo
charlatanear	charlataneo
menar	meno
lechar	lecho
convulsionar	convulsiono
depositar	deposito
prescribir	prescribo
enfrascar	enfrasco
penalizar	penalizo
comprometer	comprometo
oler	huelo
pasmar	pasmo
invocar	invoco
anihilar	anihilo
patear	pateo
españolizar	españolizo
camuflar	camuflo
aletargar	aletargo
defeccionar	defecciono
zaherir	zahiero
encerrar	encierro
divulgar	divulgo
manipular	manipulo
transigir	transijo
destrabar	destrabo
tildar	tildo
amover	amuevo
discrepar	discrepo
desaliñar	desaliño
contundir	contundo
atezar	atezo
atesorar	atesoro
encorvar	encorvo
garrapatear	garrapateo
borbotear	borboteo
cintilar	cintilo
residir	resido
reconsiderar	reconsidero
morrear	morreo
escocer	escuezo
despachar	despacho
desatascar	desatasco
proferir	profiero
bañar	baño
subrayar	subrayo
reinsertar	reinserto
curvar	curvo
permeabilizar	permeabilizo
rebañar	rebaño
ahumar	ahúmo
bachillerar	bachillero
pronosticar	pronostico
situar	sitúo
rehilar	rehílo
mineralizar	mineralizo
concretar	concreto
recalcar	recalco
soldar	sueldo
amamantar	amamanto
acoplar	acoplo
desbravar	desbravo
asonar	asueno
reciclar	reciclo
envergonzar	envergüenzo
chequear	chequeo
chapucear	chapuceo
embarrar	embarro
carcajear	carcajeo
soliviantar	solivianto
pochear	pocheo
paralizar	paralizo
sonorizar	sonorizo
apremiar	apremio
profanar	profano
abejear	abejeo
viciar	vicio
confiar	confío
abatatar	abatato
espaldar	espaldo
bastonear	bastoneo
raptar	rapto
reconfigurar	reconfiguro
reciprocar	reciproco
detentar	detento
desmalezar	desmalezo
cuestionar	cuestiono
desmaquillar	desmaquillo
taponar	tapono
sustantivar	sustantivo
relevar	relevo
obnubilar	obnubilo
retinar	retino
entubar	entubo
desmarcar	desmarco
conjuntar	conjunto
temperar	tempero
emplomar	emplomo
adivinar	adivino
enrarecer	enrarezco
demacrar	demacro
pajaronear	pajaroneo
anodizar	anodizo
concurrir	concurro
incrementar	incremento
amojonar	amojono
desparejar	desparejo
chavar	chavo
tranzar	tranzo
esterilizar	esterilizo
impersonalizar	impersonalizo
pilotear	piloteo
techar	techo
africanizar	africanizo
desestabilizar	desestabilizo
rehallar	rehallo
orquestar	orquesto
desconectar	desconecto
postular	postulo
finalizar	finalizo
persignar	persigno
capitular	capitulo
cerciorar	cercioro
enjutar	enjuto
triscar	trisco
dividir	divido
apiñar	apiño
descocer	descuezo
adicionar	adiciono
pochar	pocho
reteñir	retiño
visibilizar	visibilizo
enhebrar	enhebro
transmutar	transmuto
coagular	coagulo
aficionar	aficiono
callejear	callejeo
banalizar	banalizo
frasear	fraseo
galantear	galanteo
clarificar	clarifico
vilipendiar	vilipendio
rallar	rallo
susurrar	susurro
banderillear	banderilleo
cartelizar	cartelizo
accesar	acceso
simpatizar	simpatizo
antedecir	antedigo
desvencijar	desvencijo
cespitar	cespito
filar	filo
tapiar	tapio
estatificar	estatifico
encaminar	encamino
trashumar	trashumo
tonsurar	tonsuro
pescar	pesco
dietar	dieto
camotear	camoteo
palmar	palmo
asuntar	asunto
ufanar	ufano
parquear	parqueo
climatizar	climatizo
desacordar	desacuerdo
encarnizar	encarnizo
desgreñar	desgreño
sesgar	sesgo
agotar	agoto
amnistiar	amnistío
arrendar	arriendo
estacar	estaco
escalofriar	escalofrío
batear	bateo
disipar	disipo
alunar	aluno
ayudar	ayudo
entramar	entramo
islamizar	islamizo
interceptar	intercepto
atarear	atareo
amargar	amargo
bregar	brego
cunar	cuno
disfamar	disfamo
criminar	crimino
maltratar	maltrato
descascarillar	descascarillo
uncir	unzo
conformar	conformo
desolar	desuelo
descruzar	descruzo
descompensar	descompenso
anticipar	anticipo
vengar	vengo
torturar	torturo
centrifugar	centrifugo
unificar	unifico
decomisar	decomiso
taquigrafiar	taquigrafío
alisar	aliso
desertificar	desertifico
desovar	desovo
recifrar	recifro
intensificar	intensifico
infartar	infarto
taladrar	taladro
retipificar	retipifico
excarcelar	excarcelo
tasar	taso
amonestar	amonesto
abogar	abogo
predeterminar	predetermino
editar	edito
indulgenciar	indulgencio
activar	activo
elucubrar	elucubro
emplumar	emplumo
gatear	gateo
explorar	exploro
malparir	malparo
reconcomer	reconcomo
evaluar	evalúo
censurar	censuro
ingerir	ingiero
trasfigurar	trasfiguro
afilar	afilo
jadear	jadeo
diseñar	diseño
esculpir	esculpo
manar	mano
metar	meto
recostar	recuesto
recochinear	recochineo
pacificar	pacifico
enredar	enredo
intubar	intubo
axiomatizar	axiomatizo
oir	oigo
domar	domo
trolear	troleo
ficcionar	ficciono
desabotonar	desabotono
romper	rompo
apaciguar	apaciguo
autosatisfacer	autosatisfago
ensanchar	ensancho
redondear	redondeo
encabezar	encabezo
enmarcar	enmarco
desencaminar	desencamino
ciar	cío
burilar	burilo
ensartar	ensarto
compulsar	compulso
proliferar	prolifero
argumentar	argumento
filtrar	filtro
ruralizar	ruralizo
toldar	toldo
intermediar	intermedio
sepultar	sepulto
advertir	advierto
jaquir	jaco
simbolizar	simbolizo
eclosionar	eclosiono
idealizar	idealizo
bofetear	bofeteo
pordiosear	pordioseo
achacar	achaco
explicar	explico
desencriptar	desencripto
espulgar	espulgo
descorrer	descorro
desangrar	desangro
invertir	invierto
repintar	repinto
bloquear	bloqueo
jaranear	jaraneo
occidentalizar	occidentalizo
abotonar	abotono
antepasar	antepaso
permear	permeo
golfear	golfeo
laminar	lamino
sancochar	sancocho
desenroscar	desenrosco
revitalizar	revitalizo
inhalar	inhalo
travesar	travieso
fantasear	fantaseo
chivar	chivo
reconquistar	reconquisto
acobardar	acobardo
gorgotear	gorgoteo
amostazar	amostazo
inferir	infiero
urdir	urdo
rebrotar	rebroto
arrebujar	arrebujo
acepillar	acepillo
desquiciar	desquicio
connotar	connoto
rizar	rizo
satisfacer	satisfago
encurtir	encurto
embebecer	embebezco
entronizar	entronizo
encimar	encimo
cañar	caño
confabular	confabulo
putear	puteo
escamotear	escamoteo
rebalsar	rebalso
debatir	debato
suplantar	suplanto
validar	valido
conquistar	conquisto
impresionar	impresiono
incorporar	incorporo
devorar	devoro
reflexionar	reflexiono
descondicionar	descondiciono
acuitar	acuito
desmontar	desmonto
solidarizar	solidarizo
desempatar	desempato
carbonar	carbono
ahorcar	ahorco
confortar	conforto
satirizar	satirizo
precarizar	precarizo
espantar	espanto
reclasificar	reclasifico
arrancar	arranco
anodinar	anodino
decapitar	decapito
modernizar	modernizo
carraspear	carraspeo
afortunar	afortuno
aterrizar	aterrizo
reurbanizar	reurbanizo
almibarar	almibaro
rastrillar	rastrillo
polir	polo
informar	informo
resollar	resuello
lujuriar	lujurio
disimular	disimulo
desaguar	desaguo
espolvorear	espolvoreo
arranchar	arrancho
acidular	acidulo
enjambrar	enjambro
lacrar	lacro
acalorar	acaloro
ralear	raleo
descifrar	descifro
vencer	venzo
dorar	doro
pauperizar	pauperizo
remolcar	remolco
ornamentar	ornamento
reencantar	reencanto
rular	rulo
loar	loo
asesorar	asesoro
volear	voleo
lentificar	lentifico
twittear	twitteo
destapar	destapo
musitar	musito
residenciar	residencio
preelaborar	preelaboro
refundar	refundo
angarillar	angarillo
destetar	desteto
payasear	payaseo
normar	normo
subvertir	subvierto
aderezar	aderezo
diferenciar	diferencio
educar	educo
enronchar	enroncho
rezagar	rezago
estropear	estropeo
majar	majo
mamilar	mamilo
entrenar	entreno
otorgar	otorgo
apasionar	apasiono
desalinizar	desalinizo
contraatacar	contraataco
desencajar	desencajo
afear	afeo
albergar	albergo
prefabricar	prefabrico
centonar	centono
encarcelar	encarcelo
desacralizar	desacralizo
gorjear	gorjeo
almendrar	almendro
cancelar	cancelo
espadar	espado
impedir	impido
mazar	mazo
comer	como
acondicionar	acondiciono
solfear	solfeo
enjaretar	enjareto
inmutar	inmuto
protagonizar	protagonizo
suicidar	suicido
defenestrar	defenestro
legar	lego
divinar	divino
pirar	piro
industriar	industrio
narcotizar	narcotizo
alcanzar	alcanzo
versionar	versiono
resfriar	resfrío
descarar	descaro
debutar	debuto
aventajar	aventajo
enlozar	enlozo
esquilmar	esquilmo
cimentar	cimiento
excoriar	excorio
redireccionar	redirecciono
puntar	punto
litografiar	litografío
afrancesar	afranceso
refrenar	refreno
retundir	retundo
forrar	forro
gimotear	gimoteo
cairelar	cairelo
zigzaguear	zigzagueo
brisar	briso
repotenciar	repotencio
fotografiar	fotografío
revistar	revisto
renovar	renuevo
fisgar	fisgo
arrasar	arraso
carnear	carneo
desollar	desuello
orientar	oriento
entrecerrar	entrecierro
recuperar	recupero
reanimar	reanimo
embocar	emboco
trufar	trufo
constipar	constipo
copetear	copeteo
radiar	radio
reprender	reprendo
sindicar	sindico
enfrentar	enfrento
zabordar	zabordo
lagrimear	lagrimeo
reabrir	reabro
apagar	apago
deslustrar	deslustro
colapsar	colapso
chanchar	chancho
centralizar	centralizo
figurar	figuro
agolpar	agolpo
desenfadar	desenfado
revolotear	revoloteo
fructificar	fructifico
someter	someto
donar	dono
cimar	cimo
propugnar	propugno
jalonear	jaloneo
plomar	plomo
desclasificar	desclasifico
ociar	ocio
tipificar	tipifico
sobreestimar	sobreestimo
hurgar	hurgo
almacenar	almaceno
graznar	grazno
cocer	cuezo
disentir	disiento
establecer	establezco
encocorar	encocoro
chupar	chupo
revender	revendo
estarcir	estarzo
tropicalizar	tropicalizo
gradar	grado
acceder	accedo
oralizar	oralizo
exiliar	exilio
reportear	reporteo
dulzurar	dulzuro
concitar	concito
prestar	presto
reunificar	reunifico
descortezar	descortezo
pitar	pito
embrollar	embrollo
inspeccionar	inspecciono
reprochar	reprocho
cimbrar	cimbro
latiguear	latigueo
alfilerar	alfilero
desemejar	desemejo
chillar	chillo
esplender	esplendo
derrumbar	derrumbo
trompezar	trompiezo
desperdiciar	desperdicio
comprimir	comprimo
regobernar	regobierno
moler	muelo
lograr	logro
precalentar	precaliento
imaginar	imagino
encabritar	encabrito
ultracentrifugar	ultracentrifugo
resguardar	resguardo
pastorear	pastoreo
desnivelar	desnivelo
desmedrar	desmedro
maizar	maizo
tricotar	tricoto
desperdigar	desperdigo
regar	riego
americanizar	americanizo
autodefinir	autodefino
codiciar	codicio
requemar	requemo
arañar	araño
catalogar	catalogo
sobrestimar	sobrestimo
tuitear	tuiteo
clorinar	clorino
comentar	comento
comparecer	comparezco
replicar	replico
expulsar	expulso
impetrar	impetro
desanudar	desanudo
estelarizar	estelarizo
predominar	predomino
aforrar	aforro
azufrar	azufro
declarar	declaro
arreglar	arreglo
rechazar	rechazo
disecar	diseco
monitorizar	monitorizo
minimalizar	minimalizo
redescubrir	redescubro
encanecer	encanezco
categorizar	categorizo
barbarizar	barbarizo
entallar	entallo
recrecer	recrezco
abusar	abuso
embobecer	embobezco
alambicar	alambico
expeler	expelo
interrelacionar	interrelaciono
abofetear	abofeteo
sutilizar	sutilizo
traquear	traqueo
ayuntar	ayunto
familiarizar	familiarizo
hostiar	hostío
ronchar	roncho
vaciar	vacío
conciliar	concilio
perpetuar	perpetúo
individualizar	individualizo
zapar	zapo
gloriar	glorío
ansiar	ansío
halagar	halago
enmugrar	enmugro
sobreexplotar	sobreexploto
flojear	flojeo
obstaculizar	obstaculizo
resemblar	resemblo
cernir	cierno
sanjar	sanjo
abrigar	abrigo
describir	describo
disparar	disparo
desabejar	desabejo
fustigar	fustigo
amantar	amanto
achispar	achispo
insubordinar	insubordino
titularizar	titularizo
absorber	absorbo
retuitear	retuiteo
ningunear	ninguneo
prepagar	prepago
vivir	vivo
escupir	escupo
reptar	repto
postrar	postro
exteriorizar	exteriorizo
atenuar	atenúo
chapurrear	chapurreo
ameritar	amerito
invalidar	invalido
propagar	propago
centellear	centelleo
impeler	impelo
enrevesar	enreveso
enrabietar	enrabieto
entremezclar	entremezclo
desmayar	desmayo
tornear	torneo
friccionar	fricciono
resarcir	resarzo
conjeturar	conjeturo
acuartelar	acuartelo
repulsar	repulso
asumir	asumo
licuar	licúo
emperezar	emperezo
ensuciar	ensucio
desistir	desisto
impostar	imposto
corchar	corcho
desencolar	desencolo
